ds,Store,y,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Date_dayofweek,Date_month,Date_year,Date_day,IsHoliday_label,Type_B,Type_C
2010-02-05,1,1643690.9,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,4,2,2010,5,0,0,0
2010-02-05,10,2193048.75,126512,54.34,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,9.765,4,2,2010,5,0,1,0
2010-02-05,37,536006.73,39910,45.97,2.572,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,4,2,2010,5,0,0,1
2010-02-05,17,789036.02,93188,23.11,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,6.548,4,2,2010,5,0,1,0
2010-02-05,30,465108.52,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,0,1
2010-02-05,25,677231.63,128107,21.1,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187,4,2,2010,5,0,1,0
2010-02-05,22,1033017.37,119557,24.36,2.788,0.0,0.0,0.0,0.0,0.0,135.3524608,8.283,4,2,2010,5,0,1,0
2010-02-05,23,1364721.58,114533,15.25,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,5.892,4,2,2010,5,0,1,0
2010-02-05,24,1388725.63,203819,22.43,2.954,0.0,0.0,0.0,0.0,0.0,131.5279032,8.326,4,2,2010,5,0,0,0
2010-02-05,19,1507637.17,203819,20.96,2.954,0.0,0.0,0.0,0.0,0.0,131.5279032,8.35,4,2,2010,5,0,0,0
2010-02-05,21,798593.88,140167,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,1,0
2010-02-05,26,1034119.21,152513,9.55,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,8.488,4,2,2010,5,0,0,0
2010-02-05,39,1230596.8,184109,44.3,2.572,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,4,2,2010,5,0,0,0
2010-02-05,8,1004137.09,155078,34.14,2.572,0.0,0.0,0.0,0.0,0.0,214.4714512,6.299,4,2,2010,5,0,0,0
2010-02-05,32,1087616.19,203007,34.43,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,9.014,4,2,2010,5,0,0,0
2010-02-05,15,652122.44,123737,19.83,2.954,0.0,0.0,0.0,0.0,0.0,131.5279032,8.35,4,2,2010,5,0,1,0
2010-02-05,34,956228.96,158114,35.44,2.598,0.0,0.0,0.0,0.0,0.0,126.4420645,9.521,4,2,2010,5,0,0,0
2010-02-05,13,1967220.53,219622,31.53,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,8.316,4,2,2010,5,0,0,0
2010-02-05,38,358496.14,39690,49.47,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,13.975,4,2,2010,5,0,0,1
2010-02-05,9,549505.55,125833,38.01,2.572,0.0,0.0,0.0,0.0,0.0,214.6554591,6.415,4,2,2010,5,0,1,0
2010-02-05,2,2136989.46,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,0,0
2010-02-05,45,890689.51,118221,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,4,2,2010,5,0,1,0
2010-02-05,20,2401395.47,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187,4,2,2010,5,0,0,0
2010-02-05,27,1874289.79,204184,27.19,2.954,0.0,0.0,0.0,0.0,0.0,135.3524608,8.237,4,2,2010,5,0,0,0
2010-02-05,41,1086533.18,196321,30.27,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,7.541,4,2,2010,5,0,0,0
2010-02-05,4,2135143.87,205863,43.76,2.598,0.0,0.0,0.0,0.0,0.0,126.4420645,8.623,4,2,2010,5,0,0,0
2010-02-05,31,1469252.05,203750,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,0,0
2010-02-05,16,477409.3,57197,19.79,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,7.039,4,2,2010,5,0,1,0
2010-02-05,11,1528008.6400000001,207499,46.04,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.368,4,2,2010,5,0,0,0
2010-02-05,36,467546.74,39910,45.97,2.545,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,4,2,2010,5,0,0,0
2010-02-05,42,543384.01,39690,54.34,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,9.765,4,2,2010,5,0,0,1
2010-02-05,5,317173.1,34875,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566,4,2,2010,5,0,1,0
2010-02-05,43,647029.28,41062,47.31,2.572,0.0,0.0,0.0,0.0,0.0,203.0642742,9.521,4,2,2010,5,0,0,1
2010-02-05,35,1230613.5,103681,27.19,2.784,0.0,0.0,0.0,0.0,0.0,135.3524608,9.262,4,2,2010,5,0,1,0
2010-02-05,28,1672352.29,206302,49.47,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,13.975,4,2,2010,5,0,0,0
2010-02-05,6,1652635.1,202505,40.43,2.572,0.0,0.0,0.0,0.0,0.0,212.6223518,7.259,4,2,2010,5,0,0,0
2010-02-05,33,274593.43,39690,58.4,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,10.115,4,2,2010,5,0,0,0
2010-02-05,44,281090.95,39910,31.53,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,8.119,4,2,2010,5,0,0,1
2010-02-05,18,1205307.5,120653,21.33,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,9.202,4,2,2010,5,0,1,0
2010-02-05,3,461622.22,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.368,4,2,2010,5,0,1,0
2010-02-05,12,1100046.37,112238,49.47,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,13.975,4,2,2010,5,0,1,0
2010-02-05,29,538634.46,93638,24.36,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,10.064,4,2,2010,5,0,1,0
2010-02-05,40,1001943.8,155083,14.48,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,5.892,4,2,2010,5,0,0,0
2010-02-05,7,496725.44,70713,10.53,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,9.014,4,2,2010,5,0,1,0
2010-02-05,14,2623469.9499999997,200898,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,4,2,2010,5,0,0,0
2010-02-12,8,994801.4,155078,33.34,2.548,0.0,0.0,0.0,0.0,0.0,214.6214189,6.299,4,2,2010,12,1,0,0
2010-02-12,15,682447.1,123737,22.0,2.94,0.0,0.0,0.0,0.0,0.0,131.5866129,8.35,4,2,2010,12,1,1,0
2010-02-12,43,682918.99,41062,47.99,2.548,0.0,0.0,0.0,0.0,0.0,203.2010968,9.521,4,2,2010,12,1,0,1
2010-02-12,5,311825.7,34875,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.8004698,6.566,4,2,2010,12,1,1,0
2010-02-12,39,1266229.07,184109,44.58,2.548,0.0,0.0,0.0,0.0,0.0,209.9970208,8.554,4,2,2010,12,1,0,0
2010-02-12,26,1015684.0900000001,152513,18.14,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,8.488,4,2,2010,12,1,0,0
2010-02-12,34,994610.99,158114,36.13,2.573,0.0,0.0,0.0,0.0,0.0,126.4962581,9.521,4,2,2010,12,1,0,0
2010-02-12,33,294882.83,39690,55.47,2.828,0.0,0.0,0.0,0.0,0.0,126.4962581,10.115,4,2,2010,12,1,0,0
2010-02-12,7,524104.92,70713,25.9,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,9.014,4,2,2010,12,1,1,0
2010-02-12,13,2030933.46,219622,33.16,2.671,0.0,0.0,0.0,0.0,0.0,126.4962581,8.316,4,2,2010,12,1,0,0
2010-02-12,40,955338.29,155083,20.84,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,5.892,4,2,2010,12,1,0,0
2010-02-12,12,1117863.33,112238,47.87,2.946,0.0,0.0,0.0,0.0,0.0,126.4962581,13.975,4,2,2010,12,1,1,0
2010-02-12,19,1536549.95,203819,23.22,2.94,0.0,0.0,0.0,0.0,0.0,131.5866129,8.35,4,2,2010,12,1,0,0
2010-02-12,38,342214.9,39690,47.87,2.946,0.0,0.0,0.0,0.0,0.0,126.4962581,13.975,4,2,2010,12,1,0,1
2010-02-12,1,1641957.44,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,4,2,2010,12,1,0,0
2010-02-12,9,552677.48,125833,37.08,2.548,0.0,0.0,0.0,0.0,0.0,214.8056534,6.415,4,2,2010,12,1,1,0
2010-02-12,2,2137809.5,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,0,0
2010-02-12,45,656988.64,118221,27.73,2.773,0.0,0.0,0.0,0.0,0.0,181.982317,8.992,4,2,2010,12,1,1,0
2010-02-12,20,2109107.9,203742,22.12,2.773,0.0,0.0,0.0,0.0,0.0,204.3857472,8.187,4,2,2010,12,1,0,0
2010-02-12,27,1745362.72,204184,29.81,2.94,0.0,0.0,0.0,0.0,0.0,135.4113076,8.237,4,2,2010,12,1,0,0
2010-02-12,4,2188307.39,205863,28.84,2.573,0.0,0.0,0.0,0.0,0.0,126.4962581,8.623,4,2,2010,12,1,0,0
2010-02-12,29,529672.95,93638,28.14,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,10.064,4,2,2010,12,1,1,0
2010-02-12,31,1543947.23,203750,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,0,0
2010-02-12,18,1187880.7,120653,26.41,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,9.202,4,2,2010,12,1,1,0
2010-02-12,16,472044.27999999997,57197,20.87,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,7.039,4,2,2010,12,1,1,0
2010-02-12,11,1574684.08,207499,48.01,2.548,0.0,0.0,0.0,0.0,0.0,214.5747916,7.368,4,2,2010,12,1,0,0
2010-02-12,36,469563.7,39910,46.11,2.539,0.0,0.0,0.0,0.0,0.0,209.9970208,8.554,4,2,2010,12,1,0,0
2010-02-12,42,575709.96,39690,49.96,2.828,0.0,0.0,0.0,0.0,0.0,126.4962581,9.765,4,2,2010,12,1,0,1
2010-02-12,14,1704218.84,200898,27.73,2.773,0.0,0.0,0.0,0.0,0.0,181.982317,8.992,4,2,2010,12,1,0,0
2010-02-12,21,809321.44,140167,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,1,0
2010-02-12,32,1123566.1199999999,203007,28.09,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,9.014,4,2,2010,12,1,0,0
