,Store,ds,y,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Date_dayofweek,Date_month,Date_year,Date_day,IsHoliday_label,Type_B,Type_C
0,1,2010-02-05,1643690.9,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,4,2,2010,5,0,0,0
1287,10,2010-02-05,2193048.75,126512,54.34,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,9.765,4,2,2010,5,0,1,0
5148,37,2010-02-05,536006.73,39910,45.97,2.572,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,4,2,2010,5,0,0,1
2288,17,2010-02-05,789036.02,93188,23.11,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,6.548,4,2,2010,5,0,1,0
4147,30,2010-02-05,465108.52,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,0,1
3432,25,2010-02-05,677231.63,128107,21.1,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187,4,2,2010,5,0,1,0
3003,22,2010-02-05,1033017.37,119557,24.36,2.788,0.0,0.0,0.0,0.0,0.0,135.3524608,8.283,4,2,2010,5,0,1,0
3146,23,2010-02-05,1364721.58,114533,15.25,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,5.892,4,2,2010,5,0,1,0
3289,24,2010-02-05,1388725.63,203819,22.43,2.954,0.0,0.0,0.0,0.0,0.0,131.5279032,8.326,4,2,2010,5,0,0,0
2574,19,2010-02-05,1507637.17,203819,20.96,2.954,0.0,0.0,0.0,0.0,0.0,131.5279032,8.35,4,2,2010,5,0,0,0
2860,21,2010-02-05,798593.88,140167,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,1,0
3575,26,2010-02-05,1034119.21,152513,9.55,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,8.488,4,2,2010,5,0,0,0
5434,39,2010-02-05,1230596.8,184109,44.3,2.572,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,4,2,2010,5,0,0,0
1001,8,2010-02-05,1004137.09,155078,34.14,2.572,0.0,0.0,0.0,0.0,0.0,214.4714512,6.299,4,2,2010,5,0,0,0
4433,32,2010-02-05,1087616.19,203007,34.43,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,9.014,4,2,2010,5,0,0,0
2002,15,2010-02-05,652122.44,123737,19.83,2.954,0.0,0.0,0.0,0.0,0.0,131.5279032,8.35,4,2,2010,5,0,1,0
4719,34,2010-02-05,956228.96,158114,35.44,2.598,0.0,0.0,0.0,0.0,0.0,126.4420645,9.521,4,2,2010,5,0,0,0
1716,13,2010-02-05,1967220.53,219622,31.53,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,8.316,4,2,2010,5,0,0,0
5291,38,2010-02-05,358496.14,39690,49.47,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,13.975,4,2,2010,5,0,0,1
1144,9,2010-02-05,549505.55,125833,38.01,2.572,0.0,0.0,0.0,0.0,0.0,214.6554591,6.415,4,2,2010,5,0,1,0
143,2,2010-02-05,2136989.46,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,0,0
6292,45,2010-02-05,890689.51,118221,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,4,2,2010,5,0,1,0
